EmployeeID,FirstName,LastName,Gender,Age,DepartmentID,Location,DateOfJoining,Status,Email
1,Christine,French,Male,54,2,Hughesfurt,2023-04-17,Active,kristinarogers@gmail.com
2,Justin,Hunt,Female,29,5,Michelleland,2011-08-03,Active,llewis@hotmail.com
3,Jennifer,Jones,Female,55,5,Port Ambermouth,2020-06-23,Exited,martinezlatasha@cole-garcia.com
4,Justin,Flores,Male,47,1,Port Christopherburgh,2014-04-17,Active,singletonronald@yahoo.com
5,Priscilla,Payne,Male,41,4,Ronaldton,2025-05-20,Active,kimberly47@weiss-reyes.com
6,Laura,Mosley,Male,38,5,Lake Michelle,2017-08-20,Exited,charles34@gmail.com
7,Sara,Schneider,Male,22,8,South Robin,2023-10-05,Active,joshua18@yahoo.com
8,Christina,Barker,Female,33,3,South Keith,2012-11-08,Exited,colemanmichael@gmail.com
9,John,White,Male,54,6,Mooremouth,2020-08-14,Active,harrisjennifer@gmail.com
10,Hector,Powell,Female,24,7,Jeromeville,2019-02-01,Active,johnsonstacy@hotmail.com
11,James,Richardson,Female,26,6,Hannahland,2014-07-22,Active,cbraun@wilson.biz
12,Victor,Anderson,Female,58,7,Christensenland,2011-07-02,Onboarding,sbrown@booth.com
13,Joseph,Malone,Female,40,2,East Jamesside,2020-10-23,Exited,cathywalker@yahoo.com
14,Kristen,Cox,Male,42,3,Port Yolandaton,2018-07-17,Active,erichernandez@hotmail.com
15,Patrick,Graham,Female,45,2,Mullenport,2014-11-10,Onboarding,ymiller@yahoo.com
16,Amy,Singleton,Male,37,7,Mosleyborough,2019-01-14,Active,nyoung@gmail.com
17,Dawn,Dunn,Female,55,2,Mirandaton,2017-06-19,Onboarding,christopherjones@simmons.com
18,William,Ferguson,Female,43,4,Port Terranceberg,2024-10-03,Active,brooksstephanie@murray.org
19,Ralph,Phillips,Male,26,2,West Stacey,2025-07-27,Active,cristiangoodwin@gmail.com
20,Jessica,Walton,Male,44,6,New Brittany,2018-11-05,Active,jenkinsanthony@gmail.com
21,Valerie,Mccann,Male,37,2,East Kaylahaven,2022-11-16,Exited,sheila14@gmail.com
22,Robert,Hernandez,Female,34,3,North Darrenfurt,2022-01-15,Active,gcarter@chavez.org
23,Tammy,Pena,Male,26,3,Bryanville,2020-09-08,Onboarding,kristinfletcher@smith-smith.biz
24,Autumn,Ramos,Female,51,8,South Amber,2013-03-09,Exited,john45@collins.com
25,Abigail,Foster,Female,42,3,West Teresachester,2016-01-26,Exited,joneszachary@dawson.com
